ATC;Bezeichnung
B02BD08;B02BD08 Eptacog alfa (aktiviert)
B02BD09;B02BD09 Nonacog alfa
B02BD10;B02BD10 Von Willebrand-Faktor
B02BD11;B02BD11 Catridecacog
B02BD30;B02BD30 Thrombin
B02BX01;B02BX01 Etamsylat
B02BX02;B02BX02 Carbazochrom
B02BX03;B02BX03 Batroxobin
B02BX04;B02BX04 Romiplostim
B02BX05;B02BX05 Eltrombopag
B03AA01;B03AA01 Eisen(II)glycinsulfat
B03AA02;B03AA02 Eisen(II)fumarat
B03AA03;B03AA03 Eisen(II)gluconat
B03AA04;B03AA04 Eisen(II)carbonat
B03AA05;B03AA05 Eisen(II)chlorid
B03AA06;B03AA06 Eisen(II)succinat
B03AA07;B03AA07 Eisen(II)sulfat
B03AA08;B03AA08 Eisen(II)tartrat
B03AA09;B03AA09 Eisen(II)aspartat
B03AA10;B03AA10 Eisen(II)ascorbat
B03AA11;B03AA11 Eisen(II)iodat
B03AB01;B03AB01 Eisen(III)-Natrium-citrat
B03AB02;B03AB02 Eisen(III)oxid-Saccharose-Komplex
B03AB03;B03AB03 Natriumferedetat
B03AB04;B03AB04 Eisen(III)hydroxid
B03AB05;B03AB05 Eisen(III)hydroxid-Polymaltose-Komplexe
B03AB06;B03AB06 Eisen(III)citrat
B03AB07;B03AB07 Chondroitinsulfat-Eisen(III)-Komplex
B03AB08;B03AB08 Eisen(III)acetyltransferrin
B03AB09;B03AB09 Eisen(III)proteinsuccinylat
B03AC01;B03AC01 Eisen(III)hydroxid-Polymaltose-Komplexe
B03AC02;B03AC02 Eisen(III)oxid-Saccharose-Komplex
B03AC03;B03AC03 Eisen(III)sorbit-Zitronensäure-Komplex
B03AC05;B03AC05 Eisen(III)sorbit-Gluconsäure-Komplex
B03AC06;B03AC06 Eisen(III)oxid-Dextran-Komplexe
B03AC07;B03AC07 Eisen(III)-Natrium-Gluconat-Komplex
B03AD01;B03AD01 Eisen-Aminosäure-Komplex
B03AD02;B03AD02 Eisen(II)fumarat
B03AD03;B03AD03 Eisen(II)sulfat
B03AD04;B03AD04 Eisen(III)hydroxid-Polymaltose-Komplexe
B03AE01;B03AE01 Eisen, Vitamin B12 und Folsäure
B03AE02;B03AE02 Eisen, Multivitamine und Folsäure
B03AE03;B03AE03 Eisen und Multivitamine
B03AE04;B03AE04 Eisen, Multivitamine und Mineralstoffe
B03AE10;B03AE10 Verschiedene Kombinationen
B03BA01;B03BA01 Cyanocobalamin
B03BA02;B03BA02 Cyanocobalamin-Tannin-Komplex
B03BA03;B03BA03 Hydroxocobalamin
B03BA04;B03BA04 Cobamamid
B03BA05;B03BA05 Mecobalamin
B03BA51;B03BA51 Cyanocobalamin, Kombinationen
B03BA53;B03BA53 Hydroxocobalamin, Kombinationen
B03BB01;B03BB01 Folsäure
B03BB51;B03BB51 Folsäure, Kombinationen
B03XA01;B03XA01 Erythropoietin
B03XA02;B03XA02 Darbepoetin alfa
B03XA03;B03XA03 Methoxy-polyethylenglycol-Epoetin beta
B05AA01;B05AA01 Albumin
B05AA02;B05AA02 Andere Plasmaproteinfraktionen
B05AA03;B05AA03 Fluorocarbon-Blutersatzmittel
B05AA05;B05AA05 Dextran
B05AA06;B05AA06 Gelatine-haltige Mittel
B05AA07;B05AA07 Hydroxyethylstärke
B05AA08;B05AA08 Hämoglobin crosfumaril
B05AA09;B05AA09 Hämoglobin raffimer
B05AA10;B05AA10 Hämoglobin glutamer (Rind)
B05AX01;B05AX01 Erythrozyten
B05AX02;B05AX02 Thrombozyten
B05AX03;B05AX03 Blutplasma
B05AX04;B05AX04 Stammzellen aus Nabelschnurblut
B05BA01;B05BA01 Aminosäuren
B05BA02;B05BA02 Fett-Emulsionen
B05BA03;B05BA03 Kohlenhydrate
B05BA04;B05BA04 Proteinhydrolysate
B05BA10;B05BA10 Kombinationen
B05BB01;B05BB01 Elektrolyte
B05BB02;B05BB02 Elektrolyte mit Kohlenhydraten
B05BB03;B05BB03 Trometamol
B05BC01;B05BC01 Mannitol
B05BC02;B05BC02 Harnstoff
B05CA01;B05CA01 Cetylpyridinium
B05CA02;B05CA02 Chlorhexidin
B05CA03;B05CA03 Nitrofural
B05CA04;B05CA04 Sulfamethizol
B05CA05;B05CA05 Taurolidin
B05CA06;B05CA06 Mandelsäure
B05CA07;B05CA07 Noxytiolin
B05CA08;B05CA08 Ethacridinlactat
B05CA09;B05CA09 Neomycin
B05CA10;B05CA10 Kombinationen
B05CB01;B05CB01 Natriumchlorid
B05CB02;B05CB02 Natriumcitrat
B05CB03;B05CB03 Magnesiumcitrat
B05CB04;B05CB04 Natriumbicarbonat
B05CB10;B05CB10 Kombinationen
B05CX01;B05CX01 Glucose
B05CX02;B05CX02 Sorbitol
B05CX03;B05CX03 Glycin
B05CX04;B05CX04 Mannitol
B05CX10;B05CX10 Kombinationen
B05XA01;B05XA01 Kaliumchlorid
B05XA02;B05XA02 Natriumbicarbonat
B05XA03;B05XA03 Natriumchlorid
B05XA04;B05XA04 Ammoniumchlorid
B05XA05;B05XA05 Magnesiumsulfat
B05XA06;B05XA06 Kaliumphosphat, inkl. Kombinationen mit anderen Kaliumsalzen
B05XA07;B05XA07 Calciumchlorid
B05XA08;B05XA08 Natriumacetat
B05XA09;B05XA09 Natriumphosphat
B05XA10;B05XA10 Magnesiumphosphat
B05XA11;B05XA11 Magnesiumchlorid
B05XA12;B05XA12 Zinkchlorid
B05XA13;B05XA13 Salzsäure
B05XA14;B05XA14 Dinatrium-1-glycerinphosphat
B05XA15;B05XA15 Kaliumlactat
B05XA16;B05XA16 Kardioplege Lösungen
B05XA17;B05XA17 Kaliumacetat
B05XA30;B05XA30 Kombinationen von Elektrolyten
B05XA31;B05XA31 Elektrolyte in Kombination mit anderen Mitteln
B05XB01;B05XB01 Argininhydrochlorid
B05XB02;B05XB02 Alanylglutamin
B05XB03;B05XB03 Lysin
B05XX02;B05XX02 Trometamol
B06AA02;B06AA02 Fibrinolysin und Desoxyribonuclease
B06AA03;B06AA03 Hyaluronidase
B06AA04;B06AA04 Chymotrypsin
B06AA07;B06AA07 Trypsin
B06AA10;B06AA10 Desoxyribonuclease
B06AA11;B06AA11 Bromelaine
B06AA55;B06AA55 Streptokinase, Kombinationen
B06AB01;B06AB01 Hematin
B06AC01;B06AC01 C1-Inhibitor aus Blutplasma
B06AC02;B06AC02 Icatibant
B06AC03;B06AC03 Ecallantid
B06AC04;B06AC04 Conestat alfa
C01AA01;C01AA01 Acetyldigitoxin
C01AA02;C01AA02 Acetyldigoxin
C01AA03;C01AA03 Digitalisblätter
C01AA04;C01AA04 Digitoxin
C01AA05;C01AA05 Digoxin
C01AA06;C01AA06 Lanatosid C
C01AA07;C01AA07 Deslanosid
C01AA08;C01AA08 Metildigoxin
C01AA09;C01AA09 Gitoformat
C01AA52;C01AA52 Acetyldigoxin, Kombinationen
C01AB01;C01AB01 Proscillaridin
C01AB51;C01AB51 Proscillaridin, Kombinationen
C01AC01;C01AC01 g-Strophanthin
C01AC03;C01AC03 Cymarin
C01AX02;C01AX02 Peruvosid
C01BA01;C01BA01 Chinidin
C01BA02;C01BA02 Procainamid
C01BA03;C01BA03 Disopyramid
C01BA04;C01BA04 Spartein
C01BA05;C01BA05 Ajmalin
C01BA08;C01BA08 Prajmalin
C01BA12;C01BA12 Lorajmin
C01BA51;C01BA51 Chinidin, Kombinationen exkl. Psycholeptika
C01BA71;C01BA71 Chinidin, Kombinationen mit Psycholeptika
C01BB01;C01BB01 Lidocain
C01BB02;C01BB02 Mexiletin
C01BB03;C01BB03 Tocainid
C01BB04;C01BB04 Aprindin
C01BC03;C01BC03 Propafenon
C01BC04;C01BC04 Flecainid
C01BC07;C01BC07 Lorcainid
C01BC08;C01BC08 Encainid
C01BD01;C01BD01 Amiodaron
C01BD02;C01BD02 Bretyliumtosilat
C01BD03;C01BD03 Bunaftin
C01BD04;C01BD04 Dofetilid
C01BD05;C01BD05 Ibutilid
C01BD06;C01BD06 Tedisamil
C01BD07;C01BD07 Dronedaron
C01BG01;C01BG01 Moracizin
C01BG07;C01BG07 Cibenzolin
C01BG11;C01BG11 Vernakalant
C01CA01;C01CA01 Etilefrin
C01CA02;C01CA02 Isoprenalin
C01CA03;C01CA03 Norepinephrin
C01CA04;C01CA04 Dopamin
C01CA05;C01CA05 Norfenefrin
C01CA06;C01CA06 Phenylephrin
C01CA07;C01CA07 Dobutamin
C01CA08;C01CA08 Oxedrin
C01CA09;C01CA09 Metaraminol
C01CA10;C01CA10 Methoxamin
C01CA11;C01CA11 Mephentermin
C01CA12;C01CA12 Dimetofrin
C01CA13;C01CA13 Prenalterol
C01CA14;C01CA14 Dopexamin
C01CA15;C01CA15 Gepefrin
C01CA16;C01CA16 Ibopamin
C01CA17;C01CA17 Midodrin
C01CA18;C01CA18 Octopamin
C01CA19;C01CA19 Fenoldopam
C01CA21;C01CA21 Cafedrin
C01CA22;C01CA22 Arbutamin
C01CA23;C01CA23 Theodrenalin
C01CA24;C01CA24 Epinephrin
C01CA25;C01CA25 Ameziniummetilsulfat
C01CA26;C01CA26 Ephedrin
C01CA30;C01CA30 Kombinationen
C01CA51;C01CA51 Etilefrin, Kombinationen
C01CE01;C01CE01 Amrinon
C01CE02;C01CE02 Milrinon
C01CE03;C01CE03 Enoximon
C01CE04;C01CE04 Bucladesin
C01CX06;C01CX06 Angiotensinamid
C01CX07;C01CX07 Xamoterol
C01CX08;C01CX08 Levosimendan
C01DA02;C01DA02 Glyceroltrinitrat
C01DA04;C01DA04 Methylpropylpropanedioldinitrat
C01DA05;C01DA05 Pentaerythrityltetranitrat
C01DA07;C01DA07 Propatylnitrat
C01DA08;C01DA08 Isosorbiddinitrat
C01DA09;C01DA09 Trolnitrat
C01DA13;C01DA13 Erythrityltetranitrat
C01DA14;C01DA14 Isosorbidmononitrat
C01DA20;C01DA20 Organische Nitrate in Kombination
C01DA38;C01DA38 Tenitramin
C01DA52;C01DA52 Glyceroltrinitrat, Kombinationen
C01DA54;C01DA54 Methylpropylpropanedioldinitrat, Kombinationen
C01DA55;C01DA55 Pentaerythrityltetranitrat, Kombinationen
C01DA57;C01DA57 Propatylnitrat, Kombinationen
C01DA58;C01DA58 Isosorbiddinitrat, Kombinationen
C01DA59;C01DA59 Trolnitrat, Kombinationen
C01DA63;C01DA63 Erythrityltetranitrat, Kombinationen
C01DA70;C01DA70 Organische Nitrate in Kombination mit Psycholeptika
C01DB01;C01DB01 Flosequinan
C01DX01;C01DX01 Itramintosilat
C01DX02;C01DX02 Prenylamin
C01DX03;C01DX03 Oxyfedrin
C01DX04;C01DX04 Benziodaron
C01DX05;C01DX05 Carbocromen
C01DX06;C01DX06 Hexobendin
C01DX07;C01DX07 Etafenon
C01DX08;C01DX08 Heptaminol
C01DX09;C01DX09 Imolamin
C01DX10;C01DX10 Dilazep
C01DX11;C01DX11 Trapidil
C01DX12;C01DX12 Molsidomin
C01DX13;C01DX13 Efloxat
C01DX14;C01DX14 Cinepazet
C01DX15;C01DX15 Cloridarol
C01DX16;C01DX16 Nicorandil
C01DX18;C01DX18 Linsidomin
C01DX19;C01DX19 Nesiritid
C01DX51;C01DX51 Itramintosilat, Kombinationen
C01DX52;C01DX52 Prenylamin, Kombinationen
C01DX53;C01DX53 Oxyfedrin, Kombinationen
C01DX54;C01DX54 Benziodaron, Kombinationen
C01EA01;C01EA01 Alprostadil
C01EB02;C01EB02 Campher
C01EB03;C01EB03 Indometacin
C01EB04;C01EB04 Crataegus-Glykoside
C01EB05;C01EB05 Creatinolfosfat
C01EB06;C01EB06 Fosfocreatin
C01EB07;C01EB07 Fructose-1,6-diphosphat
C01EB09;C01EB09 Ubidecarenon
C01EB10;C01EB10 Adenosin
C01EB11;C01EB11 Tiracizin
C01EB13;C01EB13 Acadesin
C01EB15;C01EB15 Trimetazidin
C01EB16;C01EB16 Ibuprofen
C01EB17;C01EB17 Ivabradin
C01EB18;C01EB18 Ranolazin
C01EB21;C01EB21 Regadenoson
C02AA01;C02AA01 Rescinnamin
C02AA02;C02AA02 Reserpin
C02AA03;C02AA03 Kombinationen von Rauwolfia-Alkaloiden
C02AA04;C02AA04 Rauwolfia-Alkaloide, ganze Wurzel
C02AA05;C02AA05 Deserpidin
C02AA06;C02AA06 Methoserpidin
C02AA07;C02AA07 Bietaserpin
C02AA52;C02AA52 Reserpin, Kombinationen
C02AA53;C02AA53 Kombinationen von Rauwolfia-Alkaloiden, Kombinationen
C02AA57;C02AA57 Bietaserpin, Kombinationen
C02AB01;C02AB01 Methyldopa (linksdrehend)
C02AB02;C02AB02 Methyldopa (racemisch)
C02AC01;C02AC01 Clonidin
C02AC02;C02AC02 Guanfacin
C02AC04;C02AC04 Tolonidin
C02AC05;C02AC05 Moxonidin
C02AC06;C02AC06 Rilmenidin
C02BA01;C02BA01 Trimetaphan
C02BB01;C02BB01 Mecamylamin
C02CA01;C02CA01 Prazosin
C02CA02;C02CA02 Indoramin
C02CA03;C02CA03 Trimazosin
C02CA04;C02CA04 Doxazosin
C02CA06;C02CA06 Urapidil
C02CC01;C02CC01 Betanidin
C02CC02;C02CC02 Guanethidin
C02CC03;C02CC03 Guanoxan
C02CC04;C02CC04 Debrisoquin
C02CC05;C02CC05 Guanoclor
C02CC06;C02CC06 Guanazodin
C02CC07;C02CC07 Guanoxabenz
C02DA01;C02DA01 Diazoxid
C02DB01;C02DB01 Dihydralazin
C02DB02;C02DB02 Hydralazin
C02DB03;C02DB03 Endralazin
C02DB04;C02DB04 Cadralazin
C02DC01;C02DC01 Minoxidil
C02DD01;C02DD01 Nitroprussid
C02DG01;C02DG01 Pinacidil
C02KA01;C02KA01 Veratrum
C02KB01;C02KB01 Metirosin
C02KC01;C02KC01 Pargylin
C02KD01;C02KD01 Ketanserin
C02KX01;C02KX01 Bosentan
C02KX02;C02KX02 Ambrisentan
C02KX03;C02KX03 Sitaxentan
C02LA01;C02LA01 Reserpin und Diuretika
C02LA02;C02LA02 Rescinnamin und Diuretika
C02LA03;C02LA03 Deserpidin und Diuretika
C02LA04;C02LA04 Methoserpidin und Diuretika
C02LA07;C02LA07 Bietaserpin und Diuretika
C02LA08;C02LA08 Rauwolfia-Alkaloide, ganze Wurzel und Diuretika
C02LA09;C02LA09 Syrosingopin und Diuretika
C02LA50;C02LA50 Kombinationen von Rauwolfia-Alkaloiden und Diuretika inkl. andere Kombinationen
C02LA51;C02LA51 Reserpin und Diuretika, Kombinationen mit anderen Mitteln
C02LA52;C02LA52 Rescinnamin und Diuretika, Kombinationen mit anderen Mitteln
C02LA71;C02LA71 Reserpin und Diuretika, Kombinationen mit Psycholeptika
C02LB01;C02LB01 Methyldopa (linksdrehend) und Diuretika
C02LC01;C02LC01 Clonidin und Diuretika
C02LC05;C02LC05 Moxonidin und Diuretika
C02LC51;C02LC51 Clonidin und Diuretika, Kombinationen mit anderen Mitteln
C02LE01;C02LE01 Prazosin und Diuretika
C02LF01;C02LF01 Guanethidin und Diuretika
C02LG01;C02LG01 Dihydralazin und Diuretika
C02LG02;C02LG02 Hydralazin und Diuretika
C02LG03;C02LG03 Picodralazin und Diuretika
C02LG51;C02LG51 Dihydralazin und Diuretika, Kombinationen mit anderen Mitteln
C02LG73;C02LG73 Picodralazin und Diuretika, Kombinationen mit Psycholeptika
C02LK01;C02LK01 Veratrum und Diuretika
C02LL01;C02LL01 Pargylin und Diuretika
C02LX01;C02LX01 Pinacidil und Diuretika
C03AA01;C03AA01 Bendroflumethiazid
C03AA02;C03AA02 Hydroflumethiazid
C03AA03;C03AA03 Hydrochlorothiazid
C03AA04;C03AA04 Chlorothiazid
C03AA05;C03AA05 Polythiazid
C03AA06;C03AA06 Trichlormethiazid
C03AA07;C03AA07 Cyclopenthiazid
C03AA08;C03AA08 Methylclothiazid
C03AA09;C03AA09 Cyclothiazid
C03AA13;C03AA13 Mebutizid
C03AB01;C03AB01 Bendroflumethiazid und Kalium
C03AB02;C03AB02 Hydroflumethiazid und Kalium
C03AB03;C03AB03 Hydrochlorothiazid und Kalium
C03AB04;C03AB04 Chlorothiazid und Kalium
C03AB05;C03AB05 Polythiazid und Kalium
C03AB06;C03AB06 Trichlormethiazid und Kalium
C03AB07;C03AB07 Cyclopenthiazid und Kalium
C03AB08;C03AB08 Methylclothiazid und Kalium
C03AB09;C03AB09 Cyclothiazid und Kalium
C03AH01;C03AH01 Chlorothiazid, Kombinationen
C03AH02;C03AH02 Hydroflumethiazid, Kombinationen
C03AX01;C03AX01 Hydrochlorothiazid, Kombinationen
C03BA02;C03BA02 Quinethazon
C03BA03;C03BA03 Clopamid
C03BA04;C03BA04 Chlortalidon
C03BA05;C03BA05 Mefrusid
C03BA07;C03BA07 Clofenamid
C03BA08;C03BA08 Metolazon
C03BA09;C03BA09 Meticran
C03BA10;C03BA10 Xipamid
C03BA11;C03BA11 Indapamid
C03BA12;C03BA12 Clorexolon
C03BA13;C03BA13 Fenquizon
C03BA82;C03BA82 Clorexolon, Kombinationen mit Psycholeptika
C03BB02;C03BB02 Quinethazon und Kalium
C03BB03;C03BB03 Clopamid und Kalium
C03BB04;C03BB04 Chlortalidon und Kalium
C03BB05;C03BB05 Mefrusid und Kalium
C03BB07;C03BB07 Clofenamid und Kalium
C03BC01;C03BC01 Mersalyl
C03BD01;C03BD01 Theobromin
C03BX03;C03BX03 Cicletanin
C03CA01;C03CA01 Furosemid
C03CA02;C03CA02 Bumetanid
C03CA03;C03CA03 Piretanid
C03CA04;C03CA04 Torasemid
C03CB01;C03CB01 Furosemid und Kalium
C03CB02;C03CB02 Bumetanid und Kalium
C03CC01;C03CC01 Etacrynsäure
C03CC02;C03CC02 Tienilinsäure
C03CD01;C03CD01 Muzolimin
C03CX01;C03CX01 Etozolin
C03DA01;C03DA01 Spironolacton
C03DA02;C03DA02 Kaliumcanrenoat
C03DA03;C03DA03 Canrenon
C03DA04;C03DA04 Eplerenon
C03DB01;C03DB01 Amilorid
C03DB02;C03DB02 Triamteren
C03EA01;C03EA01 Hydrochlorothiazid und Kalium sparende Mittel
C03EA02;C03EA02 Trichlormethiazid und Kalium sparende Mittel
C03EA03;C03EA03 Epitizid und Kalium sparende Mittel
C03EA04;C03EA04 Altizid und Kalium sparende Mittel
C03EA05;C03EA05 Mebutizid und Kalium sparende Mittel
C03EA06;C03EA06 Chlortalidon und Kalium sparende Mittel
C03EA07;C03EA07 Cyclopenthiazid und Kalium sparende Mittel
C03EA12;C03EA12 Metolazon und Kalium sparende Mittel
C03EA13;C03EA13 Bendroflumethiazid und Kalium sparende Mittel
C03EA14;C03EA14 Butizid und Kalium sparende Mittel
C03EB01;C03EB01 Furosemid und Kalium sparende Mittel
C03EB02;C03EB02 Bumetanid und Kalium sparende Mittel
C03XA01;C03XA01 Tolvaptan
C03XA02;C03XA02 Conivaptan
C04AA01;C04AA01 Isoxsuprin
C04AA02;C04AA02 Buphenin
C04AA31;C04AA31 Bamethan
C04AB01;C04AB01 Phentolamin
C04AB02;C04AB02 Tolazolin
C04AC01;C04AC01 Nicotinsäure
C04AC02;C04AC02 Nicotinylalkohol (Pyridylcarbinol)
C04AC03;C04AC03 Inositolnicotinat
C04AC07;C04AC07 Ciclonicat
C04AD01;C04AD01 Pentifyllin
C04AD02;C04AD02 Xantinolnicotinat
C04AD03;C04AD03 Pentoxifyllin
C04AD04;C04AD04 Etofyllinnicotinat
C04AE01;C04AE01 Ergoloidmesylat
C04AE02;C04AE02 Nicergolin
C04AE04;C04AE04 Dihydroergocristin
C04AE51;C04AE51 Ergoloidmesylat, Kombinationen
C04AE54;C04AE54 Dihydroergocristin, Kombinationen
C04AF01;C04AF01 Kallidinogenase
C04AX01;C04AX01 Cyclandelat
C04AX02;C04AX02 Phenoxybenzamin
C04AX07;C04AX07 Vincamin
C04AX10;C04AX10 Moxisylyt
C04AX11;C04AX11 Bencyclan
C04AX17;C04AX17 Vinburnin
C04AX19;C04AX19 Suloctidil
C04AX20;C04AX20 Buflomedil
C04AX21;C04AX21 Naftidrofuryl
C04AX23;C04AX23 Butalamin
C04AX24;C04AX24 Visnadin
C04AX26;C04AX26 Cetiedil
C04AX27;C04AX27 Cinepazid
C04AX28;C04AX28 Ifenprodil
C04AX30;C04AX30 Azapetin
C04AX32;C04AX32 Fasudil
C05AA01;C05AA01 Hydrocortison
C05AA04;C05AA04 Prednisolon
C05AA05;C05AA05 Betamethason
C05AA06;C05AA06 Fluorometholon
C05AA08;C05AA08 Fluocortolon
C05AA09;C05AA09 Dexamethason
C05AA10;C05AA10 Fluocinolonacetonid
C05AA11;C05AA11 Fluocinonid
C05AA12;C05AA12 Triamcinolon
C05AD01;C05AD01 Lidocain
C05AD02;C05AD02 Tetracain
C05AD03;C05AD03 Benzocain
C05AD04;C05AD04 Cinchocain
C05AD05;C05AD05 Procain
C05AD06;C05AD06 Oxetacain
C05AD07;C05AD07 Pramocain
C05AE01;C05AE01 Glyceroltrinitrat
C05AE02;C05AE02 Isosorbiddinitrat
C05AX01;C05AX01 Aluminium-haltige Zubereitungen
C05AX02;C05AX02 Bismutpräparate, Kombinationen
C05AX03;C05AX03 Andere Hämorrhoidenmittel, Kombinationen
C05AX04;C05AX04 Zinkpräparate
C05AX05;C05AX05 Tribenosid
C05BA01;C05BA01 Heparinoide
C05BA02;C05BA02 Natriumapolat
C05BA03;C05BA03 Heparin
C05BA04;C05BA04 Natriumpentosanpolysulfat
C05BA51;C05BA51 Heparinoid, Kombinationen
C05BA53;C05BA53 Heparin, Kombinationen
C05BB01;C05BB01 Monoethanolaminoleat
C05BB02;C05BB02 Polidocanol
C05BB03;C05BB03 Invertzucker
C05BB04;C05BB04 Natriumtetradecylsulfat
C05BB05;C05BB05 Phenol
C05BB56;C05BB56 Glucose, Kombinationen
C05BX01;C05BX01 Calciumdobesilat
C05BX51;C05BX51 Calciumdobesilat, Kombinationen
C05CA01;C05CA01 Rutoside
C05CA02;C05CA02 Monoxerutin
C05CA03;C05CA03 Diosmin
C05CA04;C05CA04 Troxerutin
C05CA05;C05CA05 Hidrosmin
C05CA51;C05CA51 Rutosid, Kombinationen
C05CA53;C05CA53 Diosmin, Kombinationen
C05CA54;C05CA54 Troxerutin, Kombinationen
C05CX01;C05CX01 Tribenosid
C05CX02;C05CX02 Naftazon
C05CX03;C05CX03 Rosskastaniensamen
C07AA01;C07AA01 Alprenolol
C07AA02;C07AA02 Oxprenolol
C07AA03;C07AA03 Pindolol
C07AA05;C07AA05 Propranolol
C07AA06;C07AA06 Timolol
C07AA07;C07AA07 Sotalol
C07AA12;C07AA12 Nadolol
C07AA14;C07AA14 Mepindolol
C07AA15;C07AA15 Carteolol
C07AA16;C07AA16 Tertatolol
C07AA17;C07AA17 Bopindolol
C07AA19;C07AA19 Bupranolol
C07AA23;C07AA23 Penbutolol
C07AA27;C07AA27 Cloranolol
C07AA57;C07AA57 Sotalol, Kombinationen
C07AB01;C07AB01 Practolol
C07AB02;C07AB02 Metoprolol
C07AB03;C07AB03 Atenolol
C07AB04;C07AB04 Acebutolol
C07AB05;C07AB05 Betaxolol
C07AB06;C07AB06 Bevantolol
C07AB07;C07AB07 Bisoprolol
C07AB08;C07AB08 Celiprolol
C07AB09;C07AB09 Esmolol
C07AB10;C07AB10 Epanolol
C07AB11;C07AB11 S-Atenolol
C07AB12;C07AB12 Nebivolol
C07AB13;C07AB13 Talinolol
C07AB52;C07AB52 Metoprolol, Kombinationen
C07AB57;C07AB57 Bisoprolol, Kombinationen
C07AG01;C07AG01 Labetalol
C07AG02;C07AG02 Carvedilol
C07BA02;C07BA02 Oxprenolol und Thiazide
C07BA05;C07BA05 Propranolol und Thiazide
C07BA06;C07BA06 Timolol und Thiazide
C07BA07;C07BA07 Sotalol und Thiazide
C07BA12;C07BA12 Nadolol und Thiazide
C07BA68;C07BA68 Metipranolol und Thiazide, Kombinationen
C07BB02;C07BB02 Metoprolol und Thiazide
C07BB03;C07BB03 Atenolol und Thiazide
C07BB04;C07BB04 Acebutolol und Thiazide
C07BB06;C07BB06 Bevantolol und Thiazide
C07BB07;C07BB07 Bisoprolol und Thiazide
C07BB12;C07BB12 Nebivolol und Thiazide
C07BB52;C07BB52 Metoprolol und Thiazide, Kombinationen
C07BG01;C07BG01 Labetalol und Thiazide
C07CA02;C07CA02 Oxprenolol und andere Diuretika
C07CA03;C07CA03 Pindolol und andere Diuretika
C07CA17;C07CA17 Bopindolol und andere Diuretika
C07CA23;C07CA23 Penbutolol und andere Diuretika
C07CB02;C07CB02 Metoprolol und andere Diuretika
C07CB03;C07CB03 Atenolol und andere Diuretika
C07CB53;C07CB53 Atenolol und andere Diuretika, Kombinationen
C07CG01;C07CG01 Labetalol und andere Diuretika
C07DA06;C07DA06 Timolol, Thiazide und andere Diuretika
C07DB01;C07DB01 Atenolol, Thiazide und andere Diuretika
C07FA05;C07FA05 Propranolol und andere Antihypertonika
C07FB02;C07FB02 Metoprolol und andere Antihypertonika
C07FB03;C07FB03 Atenolol und andere Antihypertonika
C07FB07;C07FB07 Bisoprolol und andere Antihypertonika
C08CA01;C08CA01 Amlodipin
C08CA02;C08CA02 Felodipin
C08CA03;C08CA03 Isradipin
C08CA04;C08CA04 Nicardipin
C08CA05;C08CA05 Nifedipin
C08CA06;C08CA06 Nimodipin
C08CA07;C08CA07 Nisoldipin
C08CA08;C08CA08 Nitrendipin
C08CA09;C08CA09 Lacidipin
C08CA10;C08CA10 Nilvadipin
C08CA11;C08CA11 Manidipin
C08CA12;C08CA12 Barnidipin
C08CA13;C08CA13 Lercanidipin
C08CA14;C08CA14 Cilnidipin
C08CA15;C08CA15 Benidipin
C08CA16;C08CA16 Clevidipin
C08CA55;C08CA55 Nifedipin, Kombinationen
C08CX01;C08CX01 Mibefradil
C08DA01;C08DA01 Verapamil
C08DA02;C08DA02 Gallopamil
C08DA51;C08DA51 Verapamil, Kombinationen
C08DB01;C08DB01 Diltiazem
C08EA01;C08EA01 Fendilin
C08EA02;C08EA02 Bepridil
C08EX01;C08EX01 Lidoflazin
C08EX02;C08EX02 Perhexilin
C08GA01;C08GA01 Nifedipin und Diuretika
C09AA01;C09AA01 Captopril
C09AA02;C09AA02 Enalapril
C09AA03;C09AA03 Lisinopril
C09AA04;C09AA04 Perindopril
C09AA05;C09AA05 Ramipril
C09AA06;C09AA06 Quinapril
C09AA07;C09AA07 Benazepril
C09AA08;C09AA08 Cilazapril
C09AA09;C09AA09 Fosinopril
C09AA10;C09AA10 Trandolapril
C09AA11;C09AA11 Spirapril
C09AA12;C09AA12 Delapril
C09AA13;C09AA13 Moexipril
C09AA14;C09AA14 Temocapril
C09AA15;C09AA15 Zofenopril
C09AA16;C09AA16 Imidapril
C09BA01;C09BA01 Captopril und Diuretika
C09BA02;C09BA02 Enalapril und Diuretika
C09BA03;C09BA03 Lisinopril und Diuretika
C09BA04;C09BA04 Perindopril und Diuretika
C09BA05;C09BA05 Ramipril und Diuretika
C09BA06;C09BA06 Quinapril und Diuretika
C09BA07;C09BA07 Benazepril und Diuretika
C09BA08;C09BA08 Cilazapril und Diuretika
C09BA09;C09BA09 Fosinopril und Diuretika
C09BA12;C09BA12 Delapril und Diuretika
C09BA13;C09BA13 Moexipril und Diuretika
C09BA15;C09BA15 Zofenopril und Diuretika
C09BB02;C09BB02 Enalapril und Lercanidipin
C09BB03;C09BB03 Lisinopril und Amlodipin
C09BB04;C09BB04 Perindopril und Amlodipin
C09BB05;C09BB05 Ramipril und Felodipin
C09BB06;C09BB06 Enalapril und Nitrendipin
C09BB07;C09BB07 Ramipril und Amlodipin
C09BB10;C09BB10 Trandolapril und Verapamil
C09BB12;C09BB12 Delapril und Manidipin
C09CA01;C09CA01 Losartan
C09CA02;C09CA02 Eprosartan
C09CA03;C09CA03 Valsartan
